date,weekday,RX1_Comdty_PX-LAST-CHF,imputed,RX1_Comdty_start
2006-05-12,Friday,128.0585,,start
2006-05-13,Saturday,128.0585,imputed from 3192,
2006-05-14,Sunday,128.0585,imputed from 3193,
2006-05-15,Monday,128.77673,,
2006-05-16,Tuesday,129.43733,,
2006-05-17,Wednesday,128.19698,,
2006-05-18,Thursday,129.14712,,
2006-05-19,Friday,129.70949,,start
2006-05-20,Saturday,129.70949,imputed from 3199,
2006-05-21,Sunday,129.70949,imputed from 3200,
2006-05-22,Monday,129.83897,,
2006-05-23,Tuesday,130.03861,,
2006-05-24,Wednesday,130.61674,,
2006-05-25,Thursday,131.00538,,
2006-05-26,Friday,131.40695,,start
2006-05-27,Saturday,131.40695,imputed from 3206,
2006-05-28,Sunday,131.40695,imputed from 3207,
2006-05-29,Monday,131.34902,,
2006-05-30,Tuesday,130.56873,,
2006-05-31,Wednesday,130.49452,,
