date,weekday,NG1_Comdty_PX-LAST-CHF,imputed,NG1_Comdty_start
1998-12-27,Sunday,1123.49924,imputed from 498,
1998-12-28,Monday,1065.00064,,
1998-12-29,Tuesday,1053.43536,,
1998-12-30,Wednesday,1132.81432,,
1998-12-31,Thursday,1159.97881,,
1999-01-01,Friday,1159.97881,imputed from 503,start
1999-01-02,Saturday,1159.97881,imputed from 504,
1999-01-03,Sunday,1159.97881,imputed from 505,
1999-01-04,Monday,1227.30331,,
1999-01-05,Tuesday,1175.72737,,
1999-01-06,Wednesday,1166.54856,,
1999-01-07,Thursday,1100.78982,,
1999-01-08,Friday,1108.63066,,start
1999-01-09,Saturday,1108.63066,imputed from 511,
1999-01-10,Sunday,1108.63066,imputed from 512,
1999-01-11,Monday,1077.57996,,
1999-01-12,Tuesday,1095.7485,,
1999-01-13,Wednesday,1048.5424,,
1999-01-14,Thursday,1069.68287,,
1999-01-15,Friday,1073.9231,,start
1999-01-16,Saturday,1073.9231,imputed from 518,
1999-01-17,Sunday,1073.9231,imputed from 519,
1999-01-18,Monday,1073.9231,imputed from 520,
1999-01-19,Tuesday,1084.42955,,
1999-01-20,Wednesday,1102.29304,,
1999-01-21,Thursday,1136.0897,,
1999-01-22,Friday,1067.40456,,start
1999-01-23,Saturday,1067.40456,imputed from 525,
1999-01-24,Sunday,1067.40456,imputed from 526,
1999-01-25,Monday,1029.65237,,
1999-01-26,Tuesday,1031.66109,,
1999-01-27,Wednesday,1094.00854,,
1999-01-28,Thursday,1118.88608,,
1999-01-29,Friday,1069.93937,,start
1999-01-30,Saturday,1069.93937,imputed from 532,
1999-01-31,Sunday,1069.93937,imputed from 533,
1999-02-01,Monday,1055.40814,,
1999-02-02,Tuesday,1094.08463,,
1999-02-03,Wednesday,1061.06336,,
1999-02-04,Thursday,1102.49288,,
1999-02-05,Friday,1088.53216,,start
1999-02-06,Saturday,1088.53216,imputed from 539,
1999-02-07,Sunday,1088.53216,imputed from 540,
1999-02-08,Monday,1094.39379,,
1999-02-09,Tuesday,1108.54305,,
1999-02-10,Wednesday,1061.41558,,
1999-02-11,Thursday,1107.08087,,
1999-02-12,Friday,1088.23296,,start
1999-02-13,Saturday,1088.23296,imputed from 546,
1999-02-14,Sunday,1088.23296,imputed from 547,
1999-02-15,Monday,1088.23296,imputed from 548,
1999-02-16,Tuesday,1090.3923,,
1999-02-17,Wednesday,1074.16941,,
1999-02-18,Thursday,1059.29063,,
1999-02-19,Friday,1072.25966,,start
1999-02-20,Saturday,1072.25966,imputed from 553,
1999-02-21,Sunday,1072.25966,imputed from 554,
1999-02-22,Monday,1050.47091,,
1999-02-23,Tuesday,1052.86121,,
1999-02-24,Wednesday,1049.22278,,
1999-02-25,Thursday,1014.28245,,
1999-02-26,Friday,1003.23346,,start
1999-02-27,Saturday,1003.23346,imputed from 560,
1999-02-28,Sunday,1003.23346,imputed from 561,
1999-03-01,Monday,1058.28802,,
1999-03-02,Tuesday,1053.51599,,
1999-03-03,Wednesday,1071.90208,,
1999-03-04,Thursday,1102.5428,,
1999-03-05,Friday,1160.03697,,start
1999-03-06,Saturday,1160.03697,imputed from 567,
1999-03-07,Sunday,1160.03697,imputed from 568,
1999-03-08,Monday,1158.80547,,
1999-03-09,Tuesday,1204.85454,,
1999-03-10,Wednesday,1206.44828,,
1999-03-11,Thursday,1125.27133,,
1999-03-12,Friday,1096.02113,,start
1999-03-13,Saturday,1096.02113,imputed from 574,
1999-03-14,Sunday,1096.02113,imputed from 575,
1999-03-15,Monday,1071.24053,,
1999-03-16,Tuesday,1066.99944,,
1999-03-17,Wednesday,1078.67072,,
1999-03-18,Thursday,1043.32735,,
1999-03-19,Friday,1061.81918,,start
1999-03-20,Saturday,1061.81918,imputed from 581,
1999-03-21,Sunday,1061.81918,imputed from 582,
1999-03-22,Monday,1103.1561,,
1999-03-23,Tuesday,1089.46955,,
1999-03-24,Wednesday,1094.29818,,
1999-03-25,Thursday,1147.43989,,
1999-03-26,Friday,1169.42719,,start
1999-03-27,Saturday,1169.42719,imputed from 588,
1999-03-28,Sunday,1169.42719,imputed from 589,
1999-03-29,Monday,1173.15541,,
1999-03-30,Tuesday,1233.33698,,
1999-03-31,Wednesday,1245.63248,,
1999-04-01,Thursday,1259.39502,,
1999-04-02,Friday,1259.39502,imputed from 594,start
1999-04-03,Saturday,1259.39502,imputed from 595,
1999-04-04,Sunday,1259.39502,imputed from 596,
1999-04-05,Monday,1258.02264,,
1999-04-06,Tuesday,1241.0793,,
1999-04-07,Wednesday,1246.8438,,
1999-04-08,Thursday,1283.14485,,
1999-04-09,Friday,1296.729,,start
1999-04-10,Saturday,1296.729,imputed from 602,
1999-04-11,Sunday,1296.729,imputed from 603,
1999-04-12,Monday,1318.13082,,
1999-04-13,Tuesday,1322.81779,,
1999-04-14,Wednesday,1306.38643,,
1999-04-15,Thursday,1325.22733,,
1999-04-16,Friday,1331.1335,,start
1999-04-17,Saturday,1331.1335,imputed from 609,
1999-04-18,Sunday,1331.1335,imputed from 610,
1999-04-19,Monday,1368.96585,,
1999-04-20,Tuesday,1354.53416,,
1999-04-21,Wednesday,1371.48417,,
1999-04-22,Thursday,1406.64024,,
1999-04-23,Friday,1407.1792,,start
1999-04-24,Saturday,1407.1792,imputed from 616,
1999-04-25,Sunday,1407.1792,imputed from 617,
1999-04-26,Monday,1458.04518,,
1999-04-27,Tuesday,1472.87211,,
1999-04-28,Wednesday,1480.77236,,
1999-04-29,Thursday,1483.51388,,
1999-04-30,Friday,1433.86296,,start
