date,weekday,OE1_Comdty_PX-LAST-CHF,imputed,OE1_Comdty_start
1999-01-14,Thursday,80.66195,,
1999-01-15,Friday,80.69873,,start
1999-01-16,Saturday,80.69873,imputed from 518,
1999-01-17,Sunday,80.69873,imputed from 519,
1999-01-18,Monday,80.77966,,
1999-01-19,Tuesday,80.75023,,
1999-01-20,Wednesday,80.58838,,
1999-01-21,Thursday,80.71345,,
1999-01-22,Friday,80.79437,,start
1999-01-23,Saturday,80.79437,imputed from 525,
1999-01-24,Sunday,80.79437,imputed from 526,
1999-01-25,Monday,80.77966,,
1999-01-26,Tuesday,80.74287,,
1999-01-27,Wednesday,80.73552,,
1999-01-28,Thursday,80.69138,,
1999-01-29,Friday,80.64723,,start
1999-01-30,Saturday,80.64723,imputed from 532,
1999-01-31,Sunday,80.64723,imputed from 533,
1999-02-01,Monday,80.49274,,
1999-02-02,Tuesday,80.54424,,
1999-02-03,Wednesday,80.45595,,
1999-02-04,Thursday,80.23524,,
1999-02-05,Friday,80.33824,,start
1999-02-06,Saturday,80.33824,imputed from 539,
1999-02-07,Sunday,80.33824,imputed from 540,
1999-02-08,Monday,80.16903,,
1999-02-09,Tuesday,80.33088,,
1999-02-10,Wednesday,80.33824,,
1999-02-11,Thursday,80.41181,,
1999-02-12,Friday,80.20582,,start
1999-02-13,Saturday,80.20582,imputed from 546,
1999-02-14,Sunday,80.20582,imputed from 547,
1999-02-15,Monday,80.05132,,
1999-02-16,Tuesday,80.04396,,
1999-02-17,Wednesday,80.15432,,
1999-02-18,Thursday,80.10282,,
1999-02-19,Friday,80.22053,,start
1999-02-20,Saturday,80.22053,imputed from 553,
1999-02-21,Sunday,80.22053,imputed from 554,
1999-02-22,Monday,80.27203,,
1999-02-23,Tuesday,80.35295,,
1999-02-24,Wednesday,80.18374,,
1999-02-25,Thursday,79.85268,,
1999-02-26,Friday,79.77175,,start
1999-02-27,Saturday,79.77175,imputed from 560,
1999-02-28,Sunday,79.77175,imputed from 561,
1999-03-01,Monday,79.58047,,
1999-03-02,Tuesday,79.58047,imputed from 563,
1999-03-03,Wednesday,79.44805,,
1999-03-04,Thursday,79.5584,,
1999-03-05,Friday,79.95568,,start
1999-03-06,Saturday,79.95568,imputed from 567,
1999-03-07,Sunday,79.95568,imputed from 568,
1999-03-08,Monday,79.90409,,
1999-03-09,Tuesday,79.88935,,
1999-03-10,Wednesday,79.94831,,
1999-03-11,Thursday,80.22099,,
1999-03-12,Friday,80.15466,,start
1999-03-13,Saturday,80.15466,imputed from 574,
1999-03-14,Sunday,80.15466,imputed from 575,
1999-03-15,Monday,80.11044,,
1999-03-16,Tuesday,80.2431,,
1999-03-17,Wednesday,80.26521,,
1999-03-18,Thursday,80.26521,,
1999-03-19,Friday,80.26521,,start
1999-03-20,Saturday,80.26521,imputed from 581,
1999-03-21,Sunday,80.26521,imputed from 582,
1999-03-22,Monday,80.2431,,
1999-03-23,Tuesday,80.13255,,
1999-03-24,Wednesday,80.22099,,
1999-03-25,Thursday,80.23573,,
1999-03-26,Friday,80.1694,,start
1999-03-27,Saturday,80.1694,imputed from 588,
1999-03-28,Sunday,80.1694,imputed from 589,
1999-03-29,Monday,80.19151,,
1999-03-30,Tuesday,80.30206,,
1999-03-31,Wednesday,80.37576,,
1999-04-01,Thursday,80.44209,,
1999-04-02,Friday,80.44209,imputed from 594,start
1999-04-03,Saturday,80.44209,imputed from 595,
1999-04-04,Sunday,80.44209,imputed from 596,
1999-04-05,Monday,80.44209,imputed from 597,
1999-04-06,Tuesday,80.67792,,
1999-04-07,Wednesday,80.58212,,
1999-04-08,Thursday,80.91376,,
1999-04-09,Friday,80.79584,,start
1999-04-10,Saturday,80.79584,imputed from 602,
1999-04-11,Sunday,80.79584,imputed from 603,
1999-04-12,Monday,80.83269,,
1999-04-13,Tuesday,80.73688,,
1999-04-14,Wednesday,80.70003,,
1999-04-15,Thursday,80.6116,,
1999-04-16,Friday,80.68529,,start
1999-04-17,Saturday,80.68529,imputed from 609,
1999-04-18,Sunday,80.68529,imputed from 610,
1999-04-19,Monday,80.77373,,
1999-04-20,Tuesday,80.81795,,
1999-04-21,Wednesday,80.8548,,
1999-04-22,Thursday,80.80321,,
1999-04-23,Friday,80.89165,,start
1999-04-24,Saturday,80.89165,imputed from 616,
1999-04-25,Sunday,80.89165,imputed from 617,
1999-04-26,Monday,80.84743,,
1999-04-27,Tuesday,80.91376,,
1999-04-28,Wednesday,80.78847,,
1999-04-29,Thursday,80.94324,,
1999-04-30,Friday,80.7811,,start
1999-05-01,Saturday,80.7811,imputed from 623,
1999-05-02,Sunday,80.7811,imputed from 624,
1999-05-03,Monday,80.8548,,
1999-05-04,Tuesday,80.73688,,
1999-05-05,Wednesday,80.7811,,
1999-05-06,Thursday,80.7074,,
1999-05-07,Friday,80.76636,,start
1999-05-08,Saturday,80.76636,imputed from 630,
1999-05-09,Sunday,80.76636,imputed from 631,
1999-05-10,Monday,80.75162,,
1999-05-11,Tuesday,80.75899,,
1999-05-12,Wednesday,80.78847,,
1999-05-13,Thursday,80.78847,imputed from 635,
1999-05-14,Friday,80.50842,,start
1999-05-15,Saturday,80.50842,imputed from 637,
1999-05-16,Sunday,80.50842,imputed from 638,
1999-05-17,Monday,80.54527,,
1999-05-18,Tuesday,80.59686,,
1999-05-19,Wednesday,80.47157,,
1999-05-20,Thursday,80.51579,,
1999-05-21,Friday,80.70003,,start
1999-05-22,Saturday,80.70003,imputed from 644,
1999-05-23,Sunday,80.70003,imputed from 645,
1999-05-24,Monday,80.70003,imputed from 646,
1999-05-25,Tuesday,80.71477,,
1999-05-26,Wednesday,80.71477,,
1999-05-27,Thursday,80.51579,,
1999-05-28,Friday,80.47894,,start
1999-05-29,Saturday,80.47894,imputed from 651,
